,seniorcitizen,partner,dependents,tenure,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,contract,paperlessbilling,paymentmethod,monthlycharges,totalcharges
6797,0,No,No,27,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,69.05,1793.25
5754,0,Yes,Yes,22,No,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),19.05,454.05
5675,0,No,No,3,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,69.6,207.4
5807,0,No,No,57,No,No,No,No,No,No,No,Two year,No,Credit card (automatic),18.8,1094.35
5978,0,No,No,46,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,84.25,3847.6
1279,0,Yes,No,25,No,No,No,No,No,No,No,One year,Yes,Bank transfer (automatic),20.95,495.15
2172,0,No,No,1,DSL,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),43.95,43.95
99,1,Yes,No,25,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.5,2514.5
987,0,No,No,1,No,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),19.75,19.75
5458,0,No,No,7,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,51.0,354.05
2373,0,Yes,Yes,66,DSL,No,No,No,Yes,No,No,One year,Yes,Credit card (automatic),49.4,3251.85
5577,0,No,No,51,No,No,No,No,No,No,No,One year,No,Electronic check,19.1,1007.8
5901,0,Yes,Yes,49,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,84.5,4254.85
1660,0,Yes,No,47,No,No,No,No,No,No,No,Month-to-month,No,Electronic check,25.4,1139.2
1811,1,No,No,23,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,79.35,1835.3
4707,0,No,Yes,49,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),109.2,5290.45
4819,0,No,Yes,53,No,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),19.75,1052.35
2449,0,Yes,Yes,11,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),59.65,683.25
4909,0,Yes,No,51,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),83.85,4307.1
863,0,No,No,3,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.1,307.4
4160,0,No,No,26,DSL,Yes,No,No,Yes,Yes,Yes,One year,No,Bank transfer (automatic),75.0,1908.35
4871,0,Yes,Yes,58,DSL,No,Yes,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),75.2,4300.8
6498,0,No,No,1,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,82.3,82.3
184,0,No,No,13,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,79.25,1111.65
3718,0,Yes,No,57,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.65,5497.05
6828,0,Yes,Yes,8,No,No,No,No,No,No,No,Two year,No,Mailed check,19.05,201.7
6416,0,No,No,67,DSL,Yes,No,No,Yes,Yes,No,Two year,No,Electronic check,43.9,3097.2
4666,0,No,No,25,No,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),19.2,532.1
213,0,Yes,Yes,29,No,No,No,No,No,No,No,One year,No,Electronic check,20.0,540.05
6982,0,Yes,Yes,72,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,Yes,Electronic check,74.35,5237.4
2250,0,No,No,15,No,No,No,No,No,No,No,One year,No,Credit card (automatic),20.1,302.45
5453,0,Yes,No,60,DSL,Yes,Yes,No,Yes,No,No,Two year,Yes,Mailed check,61.35,3766.2
5440,0,Yes,Yes,19,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),49.6,962.9
224,0,No,No,12,No,No,No,No,No,No,No,One year,Yes,Bank transfer (automatic),19.35,219.35
4750,0,No,No,9,DSL,Yes,Yes,Yes,No,No,No,One year,No,Mailed check,39.55,373.0
4433,0,No,No,4,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,75.65,302.35
6062,1,No,No,53,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),73.8,4003.85
2705,0,Yes,No,72,No,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),25.65,1887.0
3866,0,Yes,Yes,19,No,No,No,No,No,No,No,Two year,No,Mailed check,25.6,485.9
3836,0,Yes,No,64,DSL,No,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),58.35,3756.45
5049,0,No,No,1,No,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),20.2,20.2
4925,0,Yes,No,64,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,One year,Yes,Mailed check,108.5,6880.85
4326,0,No,No,1,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,89.1,89.1
3700,0,No,Yes,20,No,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,19.4,374.5
2126,0,No,No,1,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,44.45,44.45
1573,0,Yes,Yes,47,Fiber optic,Yes,Yes,Yes,No,No,Yes,One year,Yes,Electronic check,96.1,4391.45
2258,0,No,No,56,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,52.7,3019.7
1022,1,No,No,5,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,84.7,392.5
1623,0,No,No,54,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),97.2,5129.45
904,0,Yes,Yes,67,DSL,Yes,Yes,Yes,No,Yes,Yes,Two year,No,Credit card (automatic),81.35,5398.6
1136,0,Yes,Yes,63,No,No,No,No,No,No,No,Two year,No,Credit card (automatic),20.0,1209.25
6176,0,No,No,43,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,77.85,3365.85
2944,0,No,No,12,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),50.95,605.75
693,0,No,No,3,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),75.1,270.7
3139,0,No,No,2,DSL,No,No,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),29.85,75.6
3889,0,No,No,13,No,No,No,No,No,No,No,One year,No,Credit card (automatic),19.3,259.65
2254,1,Yes,No,72,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Bank transfer (automatic),93.05,6735.05
3946,0,No,No,9,DSL,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,No,Mailed check,58.5,539.85
2698,0,No,No,2,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,19.85,51.6
6844,0,No,No,29,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,No,Mailed check,89.65,2623.65
3174,0,Yes,No,58,DSL,No,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),45.0,2689.35
686,0,No,No,51,No,No,No,No,No,No,No,One year,Yes,Bank transfer (automatic),24.6,1266.4
1935,0,No,No,51,No,No,No,No,No,No,No,One year,Yes,Bank transfer (automatic),19.85,996.95
5568,0,Yes,No,44,Fiber optic,Yes,Yes,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),95.1,4060.55
2649,0,Yes,No,64,No,No,No,No,No,No,No,Two year,No,Credit card (automatic),25.0,1584.8
6824,1,No,No,66,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.45,5224.35
6504,0,No,No,3,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,79.25,267.6
4117,0,Yes,No,63,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Credit card (automatic),99.7,6330.4
5870,0,Yes,Yes,5,No,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),25.9,135.0
2045,0,No,No,69,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),110.5,7455.45
303,0,Yes,Yes,68,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),60.3,4109.0
3064,0,No,No,21,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,68.65,1493.2
1862,1,No,No,52,DSL,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,50.5,2566.3
6399,0,No,No,55,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,73.1,4144.9
851,0,No,Yes,52,DSL,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Mailed check,85.15,4461.85
3928,0,Yes,No,18,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.95,1745.5
5283,0,No,Yes,19,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,48.8,953.65
1766,0,Yes,Yes,27,No,No,No,No,No,No,No,One year,Yes,Mailed check,20.55,583.3
3011,0,Yes,Yes,9,No,No,No,No,No,No,No,Two year,No,Mailed check,19.75,210.65
4585,1,No,No,1,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,85.05,85.05
4784,0,No,No,1,No,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,19.55,19.55
384,0,No,No,48,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),108.1,5067.45
5423,0,No,No,13,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,80.85,1008.7
246,0,No,No,41,DSL,No,No,Yes,No,No,Yes,One year,No,Mailed check,65.0,2531.8
5236,0,No,No,41,Fiber optic,No,Yes,No,Yes,Yes,No,One year,Yes,Electronic check,89.55,3729.75
2311,1,Yes,Yes,48,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.5,5068.05
1743,0,Yes,No,67,No,No,No,No,No,No,No,Two year,No,Credit card (automatic),24.85,1583.5
2529,1,No,No,45,DSL,Yes,No,Yes,No,No,Yes,One year,No,Credit card (automatic),62.7,2791.5
4911,1,Yes,No,72,Fiber optic,Yes,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),84.8,6141.65
105,0,No,No,5,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,24.3,100.2
1595,1,No,No,2,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,74.7,165.4
4072,1,No,No,9,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,79.55,718.55
1615,0,Yes,No,49,No,No,No,No,No,No,No,One year,Yes,Bank transfer (automatic),20.05,923.1
6852,0,Yes,Yes,44,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,61.9,2924.05
660,0,No,No,4,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,24.25,96.05
6145,0,Yes,Yes,67,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,No,Credit card (automatic),54.2,3623.95
1845,0,No,No,69,DSL,No,Yes,Yes,No,No,No,One year,Yes,Bank transfer (automatic),35.75,2492.25
3973,0,Yes,Yes,43,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),60.4,2640.55
106,0,Yes,Yes,72,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,104.15,7303.05
3824,0,No,No,4,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,55.3,238.5
5063,0,No,No,21,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,82.35,1852.85
5711,1,Yes,No,20,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,90.8,1951.0
3000,0,No,No,12,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,84.45,1059.55
3164,0,No,No,31,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,101.4,3143.65
6769,0,No,No,48,No,No,No,No,No,No,No,Two year,No,Credit card (automatic),19.85,916.0
4743,0,Yes,No,56,DSL,No,Yes,Yes,No,No,No,Two year,No,Credit card (automatic),59.5,3389.25
6706,0,No,No,1,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,19.9,19.9
5497,0,Yes,Yes,49,DSL,No,Yes,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),51.8,2541.25
3288,0,Yes,Yes,13,No,No,No,No,No,No,No,Two year,No,Mailed check,20.85,272.35
3574,0,No,No,1,No,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,20.35,20.35
6970,0,No,No,4,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.35,265.35
2927,0,No,No,1,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.9,69.9
2954,0,No,No,7,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,75.45,480.75
5534,0,No,Yes,21,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,80.35,1747.2
3312,0,No,No,1,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,20.3,20.3
6022,0,No,No,20,No,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),18.9,347.65
866,0,Yes,No,62,DSL,No,No,No,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),39.0,2337.45
875,0,No,No,3,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),34.8,113.95
1313,0,Yes,No,47,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,109.55,5124.55
4753,0,Yes,Yes,4,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,80.85,302.75
6999,0,No,No,3,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,35.45,106.85
4282,0,Yes,Yes,52,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Bank transfer (automatic),101.25,5301.1
6178,1,Yes,No,54,No,No,No,No,No,No,No,Two year,Yes,Mailed check,18.95,1031.1
3575,0,No,No,59,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,51.7,3005.8
1854,1,No,No,1,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,43.3,43.3
5889,1,Yes,No,59,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,50.25,2997.45
2320,0,Yes,Yes,63,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),89.4,5597.65
1437,0,No,No,27,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,49.0,1291.35
455,0,No,No,24,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,104.15,2494.65
28,0,Yes,No,72,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),90.25,6369.45
6262,0,No,No,45,Fiber optic,Yes,Yes,No,No,No,Yes,One year,No,Bank transfer (automatic),96.75,4442.75
1586,0,Yes,Yes,68,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),109.05,7508.55
6546,0,No,No,24,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,51.15,1275.7
4091,0,No,No,20,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),68.9,1370.35
5511,0,Yes,No,70,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),76.95,5289.8
1432,0,No,No,35,No,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),20.75,739.9
4534,0,No,No,1,DSL,No,No,No,Yes,No,No,Month-to-month,No,Credit card (automatic),49.0,49.0
2679,0,Yes,No,4,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.65,301.4
5251,1,No,No,5,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,69.05,318.5
2712,0,No,No,8,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,29.35,216.45
1366,0,Yes,No,10,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,85.6,813.85
5695,0,Yes,No,72,Fiber optic,Yes,No,No,No,No,No,Two year,No,Bank transfer (automatic),80.45,5737.6
624,0,No,No,7,No,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),20.0,137.6
4101,0,No,No,6,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),59.15,336.7
387,0,No,No,42,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Electronic check,54.75,2348.45
203,0,No,Yes,13,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),78.3,1033.95
3208,0,Yes,No,48,DSL,No,Yes,Yes,No,No,Yes,One year,Yes,Credit card (automatic),70.55,3420.5
3734,1,No,No,72,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),108.1,7774.05
409,0,No,No,1,No,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,19.6,19.6
3470,0,Yes,Yes,8,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),51.3,411.6
1946,0,Yes,Yes,55,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),90.4,5099.15
3237,0,Yes,Yes,65,No,No,No,No,No,No,No,Two year,Yes,Credit card (automatic),19.85,1267.05
6836,1,Yes,No,6,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.2,519.15
5310,0,Yes,No,43,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),66.25,2907.35
871,0,Yes,Yes,57,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),97.55,5598.0
4413,1,No,No,17,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,89.15,1496.9
6133,0,No,No,2,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),24.9,49.7
421,0,No,No,7,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),69.85,515.45
4004,0,Yes,No,72,DSL,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Bank transfer (automatic),67.8,4804.65
1534,0,Yes,Yes,69,No,No,No,No,No,No,No,Two year,No,Credit card (automatic),19.8,1436.95
1671,0,Yes,Yes,66,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),103.15,7031.3
92,0,Yes,Yes,66,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,84.0,5714.25
5012,0,No,No,12,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,20.1,223.6
6082,0,Yes,No,59,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,101.1,6039.9
726,0,No,No,22,No,No,No,No,No,No,No,Two year,No,Mailed check,26.25,605.9
564,0,No,No,7,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),64.3,445.95
2598,0,No,No,7,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,75.15,525.0
528,0,Yes,Yes,35,No,No,No,No,No,No,No,Two year,No,Mailed check,19.6,686.95
6148,0,No,No,69,DSL,Yes,Yes,No,Yes,No,No,Two year,Yes,Mailed check,66.9,4577.9
1613,0,No,No,34,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,19.7,675.6
1486,0,No,No,2,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),55.05,102.75
281,0,No,No,10,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,51.2,498.25
2764,0,Yes,Yes,30,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,No,Electronic check,67.6,2000.2
1651,1,No,No,1,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.1,79.1
463,0,No,No,7,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.8,673.25
1859,0,No,No,52,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,85.35,4338.6
3532,0,No,No,15,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,59.45,892.65
2605,0,No,No,13,No,No,No,No,No,No,No,Two year,Yes,Mailed check,20.4,261.3
3233,1,Yes,No,4,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,29.9,118.25
2351,0,No,No,49,DSL,Yes,Yes,Yes,Yes,No,No,Two year,No,Bank transfer (automatic),67.4,3306.85
6439,0,Yes,Yes,35,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,106.9,3756.45
3428,1,Yes,No,51,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),93.8,4750.95
6545,0,No,No,9,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,74.65,703.55
6559,0,Yes,No,56,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,98.7,5669.5
2108,0,No,No,46,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),44.95,2168.9
354,1,No,No,21,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,41.9,840.1
4659,0,Yes,Yes,65,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),104.3,6725.3
1225,0,Yes,No,16,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,49.95,810.2
148,0,No,Yes,30,DSL,No,Yes,Yes,No,Yes,No,One year,No,Credit card (automatic),64.5,1929.95
6902,1,Yes,No,56,DSL,Yes,Yes,Yes,Yes,No,No,One year,Yes,Credit card (automatic),68.45,4014.0
3688,0,No,No,41,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),98.05,3990.6
2879,1,Yes,No,70,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,102.95,7101.5
3659,0,Yes,No,67,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Credit card (automatic),109.9,7332.4
1020,0,Yes,Yes,39,DSL,Yes,No,No,No,No,No,Month-to-month,No,Credit card (automatic),51.05,2066.0
3740,0,Yes,Yes,2,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,71.65,135.75
6080,0,No,No,1,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,29.7,29.7
1608,0,No,No,17,No,No,No,No,No,No,No,One year,Yes,Mailed check,20.1,279.5
575,0,Yes,No,61,DSL,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Mailed check,81.05,4747.65
1687,0,Yes,Yes,12,No,No,No,No,No,No,No,One year,No,Mailed check,26.4,314.95
1988,1,Yes,No,58,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,108.85,6287.25
2891,0,No,No,1,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,79.7,79.7
5717,1,Yes,No,69,DSL,Yes,Yes,No,No,Yes,Yes,Two year,No,Credit card (automatic),56.55,3952.65
2089,0,No,No,50,DSL,No,Yes,Yes,Yes,No,No,Two year,No,Credit card (automatic),39.7,1932.75
6574,1,No,No,9,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,90.1,816.8
6464,1,No,No,50,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),70.35,3454.6
5392,0,Yes,Yes,63,DSL,No,Yes,Yes,Yes,No,No,Two year,No,Bank transfer (automatic),39.35,2395.05
6151,0,No,No,9,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,71.0,672.55
3541,0,Yes,No,49,DSL,Yes,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),40.65,2070.75
59,0,No,No,72,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),107.5,7853.7
6051,0,No,No,16,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,20.0,275.7
3268,0,Yes,Yes,24,DSL,Yes,No,No,No,Yes,Yes,One year,No,Mailed check,74.8,1821.2
5244,0,No,No,45,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),89.3,4192.15
1626,0,No,No,20,DSL,Yes,No,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),59.2,1191.2
3915,0,Yes,No,59,Fiber optic,Yes,No,Yes,No,No,No,One year,Yes,Credit card (automatic),81.25,4639.45
2784,0,No,Yes,4,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),98.1,396.3
5508,0,Yes,No,70,No,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),25.15,1940.85
890,0,Yes,Yes,31,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,89.3,2823.0
1758,0,No,No,68,No,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),20.05,1386.9
6321,0,Yes,No,30,No,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),19.65,655.85
3144,0,No,No,6,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,18.95,110.15
4049,1,Yes,No,46,Fiber optic,No,No,No,Yes,Yes,Yes,One year,No,Electronic check,100.25,4753.85
1040,1,No,No,14,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),90.45,1266.1
2257,0,No,No,60,DSL,No,No,Yes,Yes,Yes,Yes,One year,No,Credit card (automatic),80.55,4847.05
5477,0,Yes,Yes,72,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),84.2,5986.55
436,0,Yes,No,36,No,No,No,No,No,No,No,One year,No,Bank transfer (automatic),20.85,720.05
55,1,No,No,18,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,1752.55
218,0,Yes,Yes,65,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),84.2,5324.5
6818,0,No,No,3,DSL,Yes,Yes,No,Yes,No,Yes,Two year,No,Mailed check,71.1,213.35
6111,0,No,No,40,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),83.85,3532.25
5688,0,Yes,Yes,41,No,No,No,No,No,No,No,Two year,Yes,Mailed check,20.0,879.8
4518,1,No,No,8,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,81.25,585.95
186,0,No,No,20,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,51.8,1023.85
3719,0,No,No,28,No,No,No,No,No,No,No,One year,No,Credit card (automatic),18.25,534.7
2192,1,Yes,No,56,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),85.65,4824.45
4445,0,No,No,63,Fiber optic,Yes,Yes,Yes,No,Yes,No,Two year,No,Credit card (automatic),98.0,6218.45
5814,0,No,No,16,No,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),20.6,330.25
3184,0,Yes,No,71,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),83.3,5894.5
4375,0,No,No,66,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),114.3,7383.7
6473,0,No,No,1,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,94.4,94.4
